,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,,86.5,1474.15969760974,80.5,93,
,A02,SYBR,,Unkn,,86.5,1566.35276268388,81,92,
,A03,SYBR,,Unkn,,86.5,1490.21243118796,81,91,
,A04,SYBR,,Unkn,,86.5,1514.67760376911,80.5,92.5,
,A05,SYBR,,Unkn,,86.5,1454.16314685286,81,92,
,A06,SYBR,,Unkn,,86.5,1483.93300628804,79.5,94,
,A07,SYBR,,Unkn,,86.5,1472.05633205901,81,92.5,
,A08,SYBR,,Unkn,,86.5,1390.15520725184,81,95,
,A09,SYBR,,Unkn,,86.5,1459.55570245049,81,93,
,A10,SYBR,,Unkn,,86.5,1401.29776491496,81,92.5,
,A11,SYBR,,Unkn,,86.5,1395.44534651353,80.5,93,
,A12,SYBR,,Unkn,,86.5,1437.89601658062,81,92,
,B01,SYBR,,Unkn,,86.5,1396.93903894186,81,95,
,B02,SYBR,,Unkn,,86.5,1422.14325393967,80.5,95,
,B03,SYBR,,Unkn,,86.5,1301.31913528698,81,91.5,
,B04,SYBR,,Unkn,,86.5,1453.73008952524,80.5,92,
,B05,SYBR,,Unkn,,86.5,1474.73742251388,81,92,
,B06,SYBR,,Unkn,,86.5,1381.48476376123,80.5,91.5,
,B07,SYBR,,Unkn,,86.5,1377.29641592175,81,92.5,
,B08,SYBR,,Unkn,,86.5,1359.62524042313,81,92.5,
,B09,SYBR,,Unkn,,86.5,1356.33436555182,81,95,
,B10,SYBR,,Unkn,,86.5,1428.83700450201,81,94,
,B11,SYBR,,Unkn,,86.5,1366.98691318853,81,94,
,B12,SYBR,,Unkn,,86.5,1296.32583833473,81,91.5,
,C01,SYBR,,Unkn,,86.5,1558.15241868618,80.5,92.5,
,C02,SYBR,,Unkn,,86.5,1574.15661983491,80,91.5,
,C03,SYBR,,Unkn,,86.5,1443.15899490765,81,95,
,C04,SYBR,,Unkn,,86.5,1558.77661717007,81,94,
,C05,SYBR,,Unkn,,86.5,1477.64709633573,81,92,
,C06,SYBR,,Unkn,,86.5,1573.8574784292,81,95,
,C07,SYBR,,Unkn,,86.5,1469.95187332601,81,94,
,C08,SYBR,,Unkn,,86.5,1354.80273829342,81,92.5,
,C09,SYBR,,Unkn,,86.5,1478.64349941278,81,92.5,
,C10,SYBR,,Unkn,,86.5,1388.91703245747,81,92.5,
,C11,SYBR,,Unkn,,86.5,1466.00611098813,80.5,94,
,C12,SYBR,,Unkn,,86.5,1362.12865098991,81,91,
,D01,SYBR,,Unkn,,86.5,1496.03176685259,81,92.5,
,D02,SYBR,,Unkn,,86.5,1522.09297834131,81,93,
,D03,SYBR,,Unkn,,86.5,1407.82511698532,81,92.5,
,D04,SYBR,,Unkn,,86.5,1425.13346637652,81,92,
,D05,SYBR,,Unkn,,86.5,1442.29243731934,81,95,
,D06,SYBR,,Unkn,,86.5,1478.8263231763,81,94,
,D07,SYBR,,Unkn,,86.5,1436.59967190976,81,92.5,
,D08,SYBR,,Unkn,,86.5,1439.45542463683,81,92.5,
,D09,SYBR,,Unkn,,86.5,1426.14805916802,81.5,92.5,
,D10,SYBR,,Unkn,,86.5,1442.45083239343,81,92.5,
,D11,SYBR,,Unkn,,86.5,1389.19097088188,81,91.5,
,D12,SYBR,,Unkn,,86.5,1459.30566829348,81,95,
,E01,SYBR,,Unkn,,86.5,1535.51396679642,81,95,
,E02,SYBR,,Unkn,,86.5,1623.54083694457,81,94,
,E03,SYBR,,Unkn,,86.5,1378.98462080105,80.5,91.5,
,E04,SYBR,,Unkn,,86.5,1506.70985035083,81,92,
,E05,SYBR,,Unkn,,86.5,1354.65579054279,81,95,
,E06,SYBR,,Unkn,,86.5,1620.25133240317,81,94,
,E07,SYBR,,Unkn,,86.5,1418.20333721609,81,95,
,E08,SYBR,,Unkn,,86.5,1383.50706030071,81,95,
,E09,SYBR,,Unkn,,86.5,1632.22090578587,81,94,
,E10,SYBR,,Unkn,,86.5,1493.57045325305,81,92,
,E11,SYBR,,Unkn,,86.5,1450.86286834325,81,92.5,
,E12,SYBR,,Unkn,,86.5,1573.25400646547,81,94,
,F01,SYBR,,Unkn,,86.5,1466.94519097817,80.5,92.5,
,F02,SYBR,,Unkn,,86.5,1508.67350552909,80.5,93,
,F03,SYBR,,Unkn,,86.5,1324.65568294972,81,94,
,F04,SYBR,,Unkn,,86.5,1451.38112674352,81.5,93,
,F05,SYBR,,Unkn,,86.5,1429.59474700156,80.5,95,
,F06,SYBR,,Unkn,,86.5,1495.22409802246,81,95,
,F07,SYBR,,Unkn,,86.5,1466.65706210516,81,95,
,F08,SYBR,,Unkn,,86.5,1499.11549965117,80.5,92.5,
,F09,SYBR,,Unkn,,86.5,1527.41145949366,81,94,
,F10,SYBR,,Unkn,,86.5,1486.15022691075,81,95,
,F11,SYBR,,Unkn,,86.5,1521.42626695224,81,93,
,F12,SYBR,,Unkn,,86.5,1551.67421782228,81,92.5,
,G01,SYBR,,Unkn,,86.5,1559.6952238173,80.5,95,
,G02,SYBR,,Unkn,,86.5,1584.72531233239,81,94,
,G03,SYBR,,Unkn,,86.5,1644.69153855582,81,91.5,
,G04,SYBR,,Unkn,,86.5,1518.61867885151,81,93,
,G05,SYBR,,Unkn,,86.5,1572.23294021385,81,92,
,G06,SYBR,,Unkn,,86.5,1601.19348844823,80.5,92.5,
,G07,SYBR,,Unkn,,86.5,1568.99408131174,81,94,
,G08,SYBR,,Unkn,,86.5,1525.65059888164,81,91.5,
,G09,SYBR,,Unkn,,86.5,1484.47302970584,81,92.5,
,G10,SYBR,,Unkn,,86.5,1413.39135453415,81,95,
,G11,SYBR,,Unkn,,86.5,1456.46391190306,81,94,
,G12,SYBR,,Unkn,,86.5,1500.7596128358,81,94,
,H01,SYBR,,Unkn,,86.5,1413.13379521285,79.5,92.5,
,H02,SYBR,,Unkn,,86.5,1441.43943823594,80.5,92.5,
,H03,SYBR,,Unkn,,86.5,1422.38811119717,81,92.5,
,H04,SYBR,,Unkn,,86.5,1398.56237596232,80.5,92,
,H05,SYBR,,Unkn,,86.5,1439.37646574167,81,94,
,H06,SYBR,,Unkn,,86.5,1581.12964765532,81,93.5,
,H07,SYBR,,Unkn,,86.5,1495.63513486487,81,95,
,H08,SYBR,,Unkn,,86.5,1500.36673553252,81,92,
,H09,SYBR,,Unkn,,86.5,1546.47488974616,81,95,
,H10,SYBR,,Unkn,,86.5,1472.04156457464,81,93.5,
,H11,SYBR,,Unkn,,86.5,1535.61310007024,81,91,
,H12,SYBR,,Unkn,,86.5,1505.6753839233,80.5,95,
